country_name,region,happiness_score,log_gdp_per_capita,social_support,life_expectancy,freedom,generosity,perception_of_corruption
Afghanistan,Asia & Pacific,1.8589999675750728,7.324032306671143,0.3413406312465668,54.71240997314453,0.381641685962677,-0.0810111239552497,0.8472148180007935
Albania,Europe,5.277299880981445,9.567472457885742,0.7179091572761536,69.15007019042969,0.7943277955055237,-0.0069323987700045,0.8780936002731323
Algeria,Arab States,5.329100131988525,9.300213813781738,0.8552190065383911,66.54923248291016,0.5712404251098633,-0.1173740327358245,0.7169064283370972
Argentina,South/Latin America,6.02370023727417,9.95878791809082,0.8908900618553162,67.20008087158203,0.8226782083511353,-0.0894799306988716,0.8140133619308472
Armenia,Europe,5.341700077056885,9.614712715148926,0.7902310490608215,67.78897094726562,0.7956050634384155,-0.1553149670362472,0.7054339051246643
Australia,Asia & Pacific,7.094600200653076,10.821048736572266,0.9338704347610474,71.04994201660156,0.890199601650238,0.1975610703229904,0.4959157407283783
Austria,Europe,7.097300052642822,10.898905754089355,0.8884358406066895,71.1500473022461,0.8547372817993164,0.1016044691205024,0.4967743754386902
Bahrain,Arab States,6.173200130462647,10.775781631469728,0.8438454270362854,65.82499694824219,0.9439725875854492,0.1170251443982124,0.736698567867279
Bangladesh,Asia & Pacific,4.282100200653076,8.684880256652832,0.5444689989089966,64.54842376708984,0.8450080156326294,0.0050503765232861,0.6981850862503052
Belgium,Europe,6.859099864959717,10.843586921691896,0.9148709774017334,70.89908599853516,0.8252285122871399,0.0014193850802257,0.5485734343528748
Benin,Africa,4.373700141906738,8.103285789489746,0.4370720982551574,56.09510040283203,0.7433569431304932,-0.0425225719809532,0.5756282806396484
Bolivia,South/Latin America,5.684299945831299,8.984602928161621,0.8113415241241455,63.59894180297852,0.8683634400367737,-0.0627197548747062,0.8457956910133362
Bosnia and Herzegovina,Europe,5.632500171661377,9.615763664245604,0.8803004622459412,67.27503204345703,0.7461434006690979,0.2064070999622345,0.917537808418274
Botswana,Africa,3.43530011177063,9.629345893859863,0.753311276435852,54.72499847412109,0.7422487139701843,-0.2146205604076385,0.830392062664032
Brazil,South/Latin America,6.124599933624268,9.58218765258789,0.836276650428772,65.74871063232422,0.8013285398483276,-0.0093699628487229,0.7376851439476013
Bulgaria,Europe,5.466100215911865,10.086685180664062,0.9182446599006652,66.49977111816406,0.8005364537239075,-0.0568269826471805,0.9109797477722168
